Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191
Region1,4231.53,4215.69,4309.83,4401.21,4552.71,4484.52,4225.71,4297.53,4356.3,4465.77,4294.14,4080.78,4042.35,4012.44,3918.42,3872.13,4250.19,4217.55,4168.74,4248.96,4179.03,4158.54,4152.33,4241.88,4237.23,4232.58,4254.81,4157.22,3905.82,3830.49,4092.45,4126.62,4121.1,4191.63,4190.79,3996.84,3959.79,4161.33,4247.37,4235.13,4174.83,4131.9,3902.22,3919.92,4189.17,4151.19,4080.84,4121.52,4130.28,4054.62,3942.45,3893.31,4113.54,4203.57,4223.1,4265.49,4153.92,4150.71,4365.63,4413.81,4361.73,4305.09,4324.08,4054.32,4104.6,4453.95,4706.28,4816.2,4716.63,4423.89,4203.93,4165.92,4455.99,4491.3,4398.84,4340.91,4278.48,4090.8,4041.66,4246.08,4267.56,4205.34,4161.33,4127.85,3998.4,4135.23,4352.52,4283.88,4262.94,4033.32,4109.43,4061.85,4033.86,4296.75,4316.91,4376.46,4457.4,4471.26,4283.4,4222.05,4412.49,4479.36,4432.59,4405.38,4230.06,4119.93,4190.25,4518.69,4500.57,4378.71,4559.25,4633.29,4366.71,4225.77,4498.32,4547.49,4611.54,4699.23,4624.83,4405.17,4360.65,4676.55,4685.64,4658.82,4516.41,4391.79,4113.48,3976.44,4298.64,4516.77,4580.97,4526.91,4370.31,4080.51,4059.51,4385.97,4445.52,4414.44,4309.29,4262.34,4125.45,4026.3,4307.13,4478.88,4516.17,4402.83,4346.19,4128.06,4041.27,4106.28,4332.54,4375.8,4319.37,4296.87,3975.21,3907.8,4040.31,4035.33,4050.09,4138.29,4128.24,3844.68,3825.21,3900.57,3953.07,3897.99,3870.09,3829.41,3627.78,3644.82,3900.21,4017.39,3999.33,4044.21,4002.3,3974.85,4152.3,4318.62,4294.32,4304.16,4181.52,4199.79,3977.4,3956.34,4230.15,4271.97,4533.51,4629.51,4415.76,4167.33,3902.55
Region2,4231.53,4215.69,4309.83,4401.21,4552.71,4484.52,4225.71,4297.53,4356.3,4465.77,4294.14,4080.78,4042.35,4012.44,3918.42,3872.13,4250.19,4217.55,4168.74,4248.96,4179.03,4158.54,4152.33,4241.88,4237.23,4232.58,4254.81,4157.22,3905.82,3830.49,4092.45,4126.62,4121.1,4191.63,4190.79,3996.84,3959.79,4161.33,4247.37,4235.13,4174.83,4131.9,3902.22,3919.92,4189.17,4151.19,4080.84,4121.52,4130.28,4054.62,3942.45,3893.31,4113.54,4203.57,4223.1,4265.49,4153.92,4150.71,4365.63,4413.81,4361.73,4305.09,4324.08,4054.32,4104.6,4453.95,4706.28,4816.2,4716.63,4423.89,4203.93,4165.92,4455.99,4491.3,4398.84,4340.91,4278.48,4090.8,4041.66,4246.08,4267.56,4205.34,4161.33,4127.85,3998.4,4135.23,4352.52,4283.88,4262.94,4033.32,4109.43,4061.85,4033.86,4296.75,4316.91,4376.46,4457.4,4471.26,4283.4,4222.05,4412.49,4479.36,4432.59,4405.38,4230.06,4119.93,4190.25,4518.69,4500.57,4378.71,4559.25,4633.29,4366.71,4225.77,4498.32,4547.49,4611.54,4699.23,4624.83,4405.17,4360.65,4676.55,4685.64,4658.82,4516.41,4391.79,4113.48,3976.44,4298.64,4516.77,4580.97,4526.91,4370.31,4080.51,4059.51,4385.97,4445.52,4414.44,4309.29,4262.34,4125.45,4026.3,4307.13,4478.88,4516.17,4402.83,4346.19,4128.06,4041.27,4106.28,4332.54,4375.8,4319.37,4296.87,3975.21,3907.8,4040.31,4035.33,4050.09,4138.29,4128.24,3844.68,3825.21,3900.57,3953.07,3897.99,3870.09,3829.41,3627.78,3644.82,3900.21,4017.39,3999.33,4044.21,4002.3,3974.85,4152.3,4318.62,4294.32,4304.16,4181.52,4199.79,3977.4,3956.34,4230.15,4271.97,4533.51,4629.51,4415.76,4167.33,3902.55
