Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191
Region1,8463.06,8431.38,8619.66,8802.42,9105.42,8969.04,8451.42,8595.06,8712.6,8931.54,8588.28,8161.56,8084.7,8024.88,7836.84,7744.26,8500.38,8435.1,8337.48,8497.92,8358.06,8317.08,8304.66,8483.76,8474.46,8465.16,8509.62,8314.44,7811.64,7660.98,8184.9,8253.24,8242.2,8383.26,8381.58,7993.68,7919.58,8322.66,8494.74,8470.26,8349.66,8263.8,7804.44,7839.84,8378.34,8302.38,8161.68,8243.04,8260.56,8109.24,7884.9,7786.62,8227.08,8407.14,8446.2,8530.98,8307.84,8301.42,8731.26,8827.62,8723.46,8610.18,8648.16,8108.64,8209.2,8907.9,9412.56,9632.4,9433.26,8847.78,8407.86,8331.84,8911.98,8982.6,8797.68,8681.82,8556.96,8181.6,8083.32,8492.16,8535.12,8410.68,8322.66,8255.7,7996.8,8270.46,8705.04,8567.76,8525.88,8066.64,8218.86,8123.7,8067.72,8593.5,8633.82,8752.92,8914.8,8942.52,8566.8,8444.1,8824.98,8958.72,8865.18,8810.76,8460.12,8239.86,8380.5,9037.38,9001.14,8757.42,9118.5,9266.58,8733.42,8451.54,8996.64,9094.98,9223.08,9398.46,9249.66,8810.34,8721.3,9353.1,9371.28,9317.64,9032.82,8783.58,8226.96,7952.88,8597.28,9033.54,9161.94,9053.82,8740.62,8161.02,8119.02,8771.94,8891.04,8828.88,8618.58,8524.68,8250.9,8052.6,8614.26,8957.76,9032.34,8805.66,8692.38,8256.12,8082.54,8212.56,8665.08,8751.6,8638.74,8593.74,7950.42,7815.6,8080.62,8070.66,8100.18,8276.58,8256.48,7689.36,7650.42,7801.14,7906.14,7795.98,7740.18,7658.82,7255.56,7289.64,7800.42,8034.78,7998.66,8088.42,8004.6,7949.7,8304.6,8637.24,8588.64,8608.32,8363.04,8399.58,7954.8,7912.68,8460.3,8543.94,9067.02,9259.02,8831.52,8334.66,7805.1
